Id,WindowId,FileName,AriaOpera,AriaLabel,AriaName,Act,Scene,ActAndScene,Year,Decade,Composer,Character,Gender,Harmony_Analysis_Available
90,0,/home/federico/galuppi-perez/data/corpus/xml/Ale28M-Dove_si-1755-Perez[3.07][0717].xml,Ale,Ale28M,Dove_si,3,07,307,1755,1750s,Davide Perez,Poro,Male,1
91,0,/home/federico/galuppi-perez/data/corpus/xml/Ale29M-Mio_ben-1738-Galuppi[3.10][0706].xml,Ale,Ale29M,Mio_ben,3,10,310,1738,1730s,Baldassare Galuppi,Gandarte,Male,1
92,0,/home/federico/galuppi-perez/data/corpus/xml/Ale29M-Mio_ben-1749-Perez[3.10][1383].xml,Ale,Ale29M,Mio_ben,3,10,310,1749,1740s,Davide Perez,Gandarte,Male,1
93,0,/home/federico/galuppi-perez/data/corpus/xml/Ale29M-Mio_ben-1752-Perez[3.09][1069].xml,Ale,Ale29M,Mio_ben,3,09,309,1752,1750s,Davide Perez,Gandarte,Male,1
94,0,/home/federico/galuppi-perez/data/corpus/xml/Ale29M-Mio_ben-1755-Perez[3.08][0699].xml,Ale,Ale29M,Mio_ben,3,08,308,1755,1750s,Davide Perez,Gandarte,Male,1
95,0,/home/federico/galuppi-perez/data/corpus/xml/Ale30M-Son_confusa-1738-Galuppi[3.11][1285].xml,Ale,Ale30M,Son_confusa,3,11,311,1738,1730s,Baldassare Galuppi,Erissena,Male,1
96,0,/home/federico/galuppi-perez/data/corpus/xml/Ale30M-Son_confusa-1749-Perez[3.11][1384].xml,Ale,Ale30M,Son_confusa,3,11,311,1749,1740s,Davide Perez,Erissena,Male,1
97,0,/home/federico/galuppi-perez/data/corpus/xml/Ale30M-Son_confusa-1752-Perez[3.10][1070].xml,Ale,Ale30M,Son_confusa,3,10,310,1752,1750s,Davide Perez,Erissena,Male,1
98,0,/home/federico/galuppi-perez/data/corpus/xml/Ale30M-Son_confusa-1755-Galuppi[3.11][0707].xml,Ale,Ale30M,Son_confusa,3,11,311,1755,1750s,Baldassare Galuppi,Erissena,Male,1
99,0,/home/federico/galuppi-perez/data/corpus/xml/Ale30M-Son_confusa-1755-Perez[3.09][0718].xml,Ale,Ale30M,Son_confusa,3,09,309,1755,1750s,Davide Perez,Erissena,Male,1
