Id,Form,Character,Gender,RoleType,City,Territory
1167,Da capo,Iarba,Male,Tenore,Madrid,Spain
1168,Dal segno,Matusio,Male,Parte ultima,Padua,Italy
1169,Dal segno,Erissena,Male,Seconda donna,Berlin,Empire
1170,Da capo,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Berlin,Empire
1171,Dal segno,Poro,Male,Primo soprano,Berlin,Empire
1172,Dal segno,Dircea,Male,Prima donna,Copenhagen,Empire
1173,AA,Creusa,Male,Seconda donna,Copenhagen,Empire
1174,Dal segno,Adrasto,Male,Settima parte,Copenhagen,Empire
1175,Da capo,Demofoonte,Male,Tenore,Milan,Italy
1176,Dal segno,Timante,Male,Primo soprano,Milan,Italy
1177,Da capo,Creusa,Male,Seconda donna,Milan,Italy
1178,Da capo,Dircea,Male,Prima donna,Milan,Italy
1179,Da capo,Timante,Male,Primo soprano,Milan,Italy
1180,Da capo,Matusio,Male,Parte ultima,Milan,Italy
1181,AB,Cherinto,Male,Secondo uomo,Milan,Italy
1182,Dal segno,Demofoonte,Male,Tenore,Milan,Italy
1183,Da capo,Adrasto,Male,Settima parte,Milan,Italy
1184,Da capo,Cherinto,Male,Secondo uomo,Milan,Italy
1185,Da capo,Demofoonte,Male,Tenore,Milan,Italy
1186,Da capo,Dircea,Male,Prima donna,Milan,Italy
1187,Da capo,"Dircea,Timante",Male&Male,"Prima donna,Primo soprano",Milan,Italy
1188,Dal segno,Gandarte,Male,Secondo uomo,Naples,Italy
1189,Dal segno,Poro,Male,Primo soprano,Naples,Italy
1190,Dal segno,Alessandro,Male,Tenore,Naples,Italy
1191,Dal segno,Alessandro,Male,Tenore,Venice,Italy
1192,Dal segno,Erissena,Male,Seconda donna,Naples,Italy
1193,Dal segno,Cleofide,Male,Prima donna,Naples,Italy
1194,ABA,Cleofide,Male,Prima donna,Naples,Italy
1195,ABA,Erissena,Male,Seconda donna,Naples,Italy
1196,Dal segno,Cleofide,Male,Prima donna,Venice,Italy
1197,Dal segno,Poro,Male,Primo soprano,Venice,Italy
1198,Dal segno,Poro,Male,Primo soprano,Naples,Italy
1199,Dal segno,Alessandro,Male,Tenore,Naples,Italy
1200,Dal segno,Gandarte,Male,Secondo uomo,Naples,Italy
1201,AA,Poro,Male,Primo soprano,Venice,Italy
1202,Dal segno,Cleofide,Male,Prima donna,Naples,Italy
1203,ABA,Poro,Male,Primo soprano,Modena,Italy
1204,ABA,Alessandro,Male,Tenore,Modena,Italy
1205,ABA,Erissena,Male,Seconda donna,Modena,Italy
1206,ABA,Timagene,Male,Parte ultima,Modena,Italy
1207,Dal segno,Dircea,Male,Prima donna,Padua,Italy
1208,Dal segno,Demofoonte,Male,Tenore,Padua,Italy
1209,Da capo,Cherinto,Male,Secondo uomo,Padua,Italy
1210,Dal segno,Creusa,Male,Seconda donna,Padua,Italy
1211,Dal segno,Dircea,Male,Prima donna,Padua,Italy
1212,Dal segno,Timante,Male,Primo soprano,Padua,Italy
1213,Dal segno,Timante,Male,Primo soprano,Padua,Italy
1214,ABA,Matusio,Male,Parte ultima,Padua,Italy
1215,Dal segno,Cherinto,Male,Secondo uomo,Padua,Italy
1216,ABC,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Naples,Italy
1217,ABA,Poro,Male,Primo soprano,Naples,Italy
1218,Dal segno,Cleofide,Male,Prima donna,Naples,Italy
1219,ABA,Timagene,Male,Parte ultima,Naples,Italy
1220,ABA,Poro,Male,Primo soprano,Naples,Italy
1221,AB,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Venice,Italy
1222,ABAB,Cleofide,Male,Prima donna,Modena,Italy
1223,ABA,Gandarte,Male,Secondo uomo,Modena,Italy
1224,ABA,Erissena,Male,Seconda donna,Modena,Italy
1225,ABA,Alessandro,Male,Tenore,Modena,Italy
1226,Dal segno,Demofoonte,Male,Tenore,Padua,Italy
1227,Da capo,"Dircea,Timante",Male&Male,"Prima donna,Primo soprano",Padua,Italy
1228,Da capo,Adrasto,Male,Settima parte,Padua,Italy
1229,Dal segno,Cherinto,Male,Secondo uomo,Padua,Italy
1230,Da capo,Demofoonte,Male,Tenore,Padua,Italy
1231,Da capo,Dircea,Male,Prima donna,Padua,Italy
1232,Da capo,Creusa,Male,Seconda donna,Milan,Italy
1233,ABA,Poro,Male,Primo soprano,Modena,Italy
1234,AA,Gandarte,Male,Secondo uomo,Modena,Italy
