Id,first_phrase_measure,length_first_phrase
0548,,13.0
0549,11.5,30.0
0550,21.0,26.0
0551,23.0,34.0
0552,18.0,19.0
0553,11.5,15.0
0554,1.0,32.0
0555,20.0,25.0
0556,18.0,21.0
0557,20.0,29.0
0558,12.5,14.0
0559,8.0,22.5
0560,25.0,21.0
0561,24.0,31.0
0562,17.0,20.0
0563,22.0,27.0
0564,22.0,30.0
0565,8.0,25.0
0566,24.0,25.0
0567,,23.0
0568,28.0,37.0
0569,12.0,20.0
0570,4.0,13.0
0571,16.0,27.0
0572,,23.0
0573,24.0,29.0
0574,24.0,22.0
0575,,30.0
0576,18.0,19.0
0577,18.0,37.0
0578,9.0,29.0
0579,,17.0
0580,16.0,36.0
0581,29.0,64.0
0582,14.0,25.0
0583,34.0,40.0
0584,24.0,35.0
0585,24.0,31.0
0586,8.0,36.0
0587,,35.0
0588,25.0,25.0
0589,18.0,39.0
0590,4.0,32.0
0591,14.0,18.0
0592,15.0,18.0
0593,28.0,25.0
0594,32.0,36.0
0595,17.0,32.0
0596,32.0,39.0
0597,17.0,25.0
0598,31.0,52.0
0599,13.0,14.0
0600,,26.0
0601,37.0,35.0
0602,16.0,29.0
0603,1.0,24.0
0604,19.0,38.0
0605,39.0,43.0
0606,2.0,45.0
0607,27.0,30.0
0608,26.0,35.0
0609,0.0,21.0
0610,14.0,23.0
0611,25.0,31.0
0612,25.0,33.0
0613,22.0,28.0
0614,11.0,20.0
0615,21.0,34.0
0616,24.0,44.0
0617,,25.0
0618,17.0,40.0
0619,49.0,65.0
0620,14.0,18.5
0621,,28.0
0622,10.0,25.0
0623,18.0,41.0
0624,22.0,36.0
0625,,46.0
0626,27.0,23.0
0627,16.0,21.5
0628a,25.0,40.0
0628b,25.0,40.0
0629,,27.0
0630,,30.0
0631,24.0,39.0
0632,2.0,26.0
0633,16.0,25.0
0634,1.0,30.0
0635,5.5,7.5
0636,3.0,7.5
0637,20.0,26.0
0638,17.0,24.0
0639,7.5,6.5
0640,6.0,9.0
0641,6.0,9.0
0642,8.0,8.0
0643,,20.0
0644,8.0,7.0
0645,5.0,4.5
0646,,35.0
0647,16.0,21.0
0648,14.0,14.0
0649,6.0,13.0
0650,13.0,18.0
0651,21.0,34.0
0652,13.0,23.0
0653,16.0,17.0
0654,9.0,9.5
0655,,6.5
0656,24.0,20.0
0657,13.0,13.5
0658,12.0,13.0
0659,10.0,13.0
0660,13.0,14.0
0661,4.5,12.0
0662,10.0,10.0
0663,22.0,23.0
0664,3.0,3.0
0665,21.0,26.0
0666,16.0,22.0
0667,17.0,19.0
0668,,21.0
0669,10.0,46.5
0670,25.0,35.0
0671,23.0,46.0
0672,21.0,52.0
0673,13.0,46.0
0674,34.0,36.0
0675,24.0,29.0
0676,25.0,36.0
0677,37.0,52.0
0678,22.0,35.0
0679,11.0,20.0
0680,22.0,27.0
0681,20.0,28.0
0682,26.0,39.0
0683,20.0,40.0
0684,12.0,31.0
0685,20.0,33.5
0686,22.0,33.0
0687,7.0,18.0
0688,1.0,8.0
0689,22.0,13.5
0690,13.0,34.0
0691,14.0,38.5
0692,17.0,38.0
0693,24.0,46.0
0694,6.0,32.0
0695,12.0,36.0
0696,16.0,27.0
0697,4.0,86.5
0698,23.0,42.0
0699,21.0,30.0
0700,20.0,34.0
0701,10.0,29.0
0702,29.0,41.0
0703,27.0,37.0
0704,6.0,27.0
0705,6.0,28.0
0706,20.0,30.0
0707,24.0,58.0
0708,8.0,17.0
0709,24.0,53.0
0710,15.0,37.0
0711,21.0,40.0
0712,10.0,16.0
0713,18.0,29.0
0714,25.0,33.0
0715,27.0,50.0
0716,18.0,27.0
0717,,29.0
0718,31.0,38.0
0719,31.0,64.0
0720,13.5,14.5
0721,7.5,9.0
0722,12.0,14.5
0723,9.5,7.0
0724,10.0,20.0
0725,,13.0
0726,12.0,19.0
0727,4.0,13.0
0728,16.0,21.0
0729,26.0,27.0
0730,23.0,19.0
0731,,39.5
0732,10.0,10.5
0733,8.0,14.0
0734,15.0,14.0
0735,9.5,9.0
0736,29.0,17.0
0737,16.0,19.0
0738,18.0,27.0
0739,18.0,23.0
0740,20.0,40.0
0741,23.0,19.0
0742,34.0,27.0
0743,15.0,21.0
0744,32.0,13.0
0745,22.0,20.0
0746,11.0,13.5
0747,10.0,12.5
0748,,42.0
0749,23.0,45.0
0750,12.0,29.0
0751,21.0,36.0
0752,10.0,9.0
0753,27.0,35.0
0754,20.0,28.0
0755,23.0,48.0
0756,24.0,36.0
0757,22.0,42.0
0758,23.0,36.0
0759,18.0,33.0
0760,28.0,35.0
0761,16.0,41.0
0762,20.0,27.0
0763,4.0,36.0
0764,8.0,21.0
0765,10.0,21.0
0766,2.0,21.0
0767,19.0,36.0
0768,23.0,30.0
0769,29.0,34.0
0770,21.0,27.0
0771,22.0,29.0
0772,22.0,23.0
0773,1.0,29.0
0774,7.0,10.0
0775,20.0,29.5
0776,20.0,35.0
0777,17.0,38.5
0778,10.0,18.0
0779,4.0,50.5
0780,,32.0
0781,18.0,25.0
0782,21.0,29.0
0783,6.0,16.0
0784,19.0,28.0
0785,13.0,20.5
0786,22.0,44.0
0787,16.0,19.0
0788,8.5,13.0
0789,23.0,26.0
0790,1.0,30.5
0791,,53.0
0792,20.0,34.0
0793,22.0,47.0
0794,15.0,26.0
0795,18.0,30.0
0796,,23.5
0797,23.0,34.0
0798,19.0,34.0
0799,18.0,25.0
0800,29.0,27.0
0801,20.0,18.0
0802,,18.0
0803,28.0,61.0
0804,18.0,25.0
0805,26.0,12.0
0806,6.0,10.0
0807,44.0,70.0
0808,,32.0
0809,13.0,17.0
0810,16.0,11.0
0811,22.0,40.0
0812,22.0,42.0
0813,12.0,48.0
0814,,22.0
0815,25.0,39.0
0816,13.0,61.0
0817,,42.0
0818,16.0,38.0
0819,5.0,15.0
0820,,9.0
0821,23.0,51.0
0822,16.0,38.0
0823,8.0,21.0
0824,19.0,14.0
0825,10.0,9.0
0826,14.0,33.0
0827,21.0,32.0
0828,21.0,33.0
0829,4.0,18.0
0830,18.0,30.0
0831,,22.0
0832,16.0,26.0
0833,12.0,30.0
0834,17.0,34.0
0835,21.0,38.0
0836,1.0,30.0
0837,15.0,26.0
0838,21.0,28.0
0839,13.0,22.0
0840,16.0,26.0
0841,,28.0
